"","StudyCross","first","second","GenDist","PA","StudyID","parents.space","Cross_ID","ParentID","Species_or_CrossType"
"93","Pfennig_2007_A","Spea multiplicata","Spea bombifrons",0.119871794871795,"Animal","Pfennig_2007","Spea multiplicata","A","B","Spea multiplicata"
"94","Selz_2014a_B","Pundamilia nyererei","Astatotilapia calliptera",0.0673339399454049,"Animal","Selz_2014a","Astatotilapia calliptera","B","A","Astatotilapia calliptera"
"95","Selz_2014a_B","Pundamilia nyererei","Astatotilapia calliptera",0.0673339399454049,"Animal","Selz_2014a","Pundamilia nyererei","B","B","Pundamilia nyererei"
"96","Selz_2014a_C","Protomelas taeniolatus","Astatotilapia calliptera",0.0369393139841689,"Animal","Selz_2014a","Astatotilapia calliptera","C","A","Astatotilapia calliptera"
"97","Selz_2014a_C","Protomelas taeniolatus","Astatotilapia calliptera",0.0369393139841689,"Animal","Selz_2014a","Protomelas taeniolatus","C","B","Protomelas taeniolatus"
"98","Selz_2014b_C","Astatotilapia calliptera","Astatotilapia burtoni",0.0611111111111111,"Animal","Selz_2014b","Astatotilapia burtoni","C","A","Astatotilapia burtoni"
"99","Selz_2014b_C","Astatotilapia calliptera","Astatotilapia burtoni",0.0611111111111111,"Animal","Selz_2014b","Astatotilapia calliptera","C","B","Astatotilapia calliptera"
"100","Svedin_2008_A","Ficedula hypoleuca","Ficedula albicollis",0.0403726708074534,"Animal","Svedin_2008","Ficedula albicollis","A","A","Ficedula albicollis"
"101","Svedin_2008_A","Ficedula hypoleuca","Ficedula albicollis",0.0403726708074534,"Animal","Svedin_2008","Ficedula hypoleuca","A","B","Ficedula hypoleuca"
"102","Veen_2007_A","Ficedula hypoleuca","Ficedula albicollis",0.0403726708074534,"Animal","Veen_2007","Ficedula albicollis","A","A","Ficedula albicollis"
"103","Veen_2007_A","Ficedula hypoleuca","Ficedula albicollis",0.0403726708074534,"Animal","Veen_2007","Ficedula hypoleuca","A","B","Ficedula hypoleuca"
"104","Vinsalkova_2007_A","Triturus dobrogicus","Triturus carnifex",0.0634842519685039,"Animal","Vinsalkova_2007","Triturus carnifex","A","A","Triturus carnifex"
"105","Vinsalkova_2007_A","Triturus dobrogicus","Triturus carnifex",0.0634842519685039,"Animal","Vinsalkova_2007","Triturus dobrogicus","A","B","Triturus dobrogicus"
"106","Yamashita_2014_A","Platichthys stellatus","Kareius bicoloratus",0.0793411164787976,"Animal","Yamashita_2014","Kareius bicoloratus","A","A","Kareius bicoloratus"
"107","Yamashita_2014_A","Platichthys stellatus","Kareius bicoloratus",0.0793411164787976,"Animal","Yamashita_2014","Platichthys stellatus","A","B","Platichthys stellatus"
